text,label
contestatie act administrativ fiscal,0
contestatie act administrativ fiscal,0
comunicare informatii de interes public,0
contestatie impotriva raportului privind cauzele aparitiei starii de insolventa,2
constatare caracter abuziv clauze contractuale,1
litigiu privind functionarii publici,0
litigiu privind achizitiile publice,0
contestatie impotriva masurilor administratorului judiciar,2
contestatie impotriva tabelului preliminar al creantelor,2
poprire asiguratorie,4
comunicare informatii de interes public,0
litigiu privind functionarii publici,0
contestatie act administrativ fiscal,0
suspendare act administrativ,0
prejudiciu moral suplimentar,4
necompetenta generala a instantelor,4
raspundere administrator,4
suspendare executare act administrativ,0
litigiu privind functionarii publici,0
litigiu privind functionarii publici,0
contestatie act administrativ fiscal,0
contestatie impotriva tabelului preliminar al creantelor,2
pretentiiexceptia de necompetenta,1
litigiu privind functionarii publici,0
ordonanta presedintiala,4
obligatia de a face,2
litigiu privind achizitiile publice,0
contestatie impotriva masurii administratorului judiciar,2
litigiu privind functionarii publici,0
suspendare executare act administrativ,0
actiune in constatare,1
banci operatiuni bancare,1
contestatie impotriva raportului de activitate,2
actiune in anularea transferului fraudulos,2
contesatatie la tabelul preliminar modificat,2
litigiu privind functionarii publici,0
contestatie act administrativ fiscal,0
interventiereg com,1
constatarea transformarii caracterului asiguratoriu al masurii instituite in cursul procesului penal sechestru asigurator in caracter executoriu,2
litigiu privind functionarii publici,0
atragerea raspunderii patrimoniale,2
nulitate act juridic,1
obligare emitere act administrativ,0
obligarea la virarea soldului disponibil in contul unic de lichidare,2
anulare act administrativfiscal,0
comunicare informatii de interes public,0
opozitie la incheierea de deschidere a procedurii generale a insolventei,2
contestatia impotriva hotararii adunrii creditorilor,2
contestatia impotriva tabelului preliminar,2
contestatia impotriva tabelului preliminar,2
contestatie act administrativ fiscal,0
contestatie act administrativ fiscal,0
atragerea raspunderii pentru intrarea in insolventa art din legea ne,2
contestatia impotriva masurilor alichidatorului judiciar,2
litigiu privind functionarii publici,0
contestatie impotriva hotararii adunarii creditorilor,2
actiune in anularea promisiunii bilaterale de vanzarecumparare,2
sanctiune pentru neexecutare hotarare,0
litigiu privind functionarii publici,0
litigiu privind achizitiile publice,0
contestatie la tabelul preliminar,2
actiune in anularea promisiunii bilaterale de vanzarecumparare,2
contestatie impotria hotararii adunarii creditorilor,2
litigiu privind functionarii publici,0
litigiu privind functionarii publici,0
contestatie la tabelul preliminar al creantelor,2
obiectiuni la raportul final de activitate,2
litigii cu profesionistii ordonanta presedintiala,4
confirmare plan reorganizare,2
cerere de interventie onrc,4
litigiu privind functionarii publici,0
contestatie impotriva hotararii adunarii creditorilor,2
opozitie la incheierea de deschidere a procedurii insolventei,2
contestatie impotriva masurilor administratorului judiciar,2
confirmare plan reorganizare,2
contestatie act administrativ fiscal,0
litigiu functionari publici,0
ordonanta presedintiala suspendarea hotararii adunarii generale a creditorilor,2
actiune in anulare,2
contestatie la text,2
plangere impotriva rezolutiei directorului orctb,4
suspendare executare act administrativ,0
ordonanta presedintiala,4
contestatie impotriva masurilor administratorului judiciar,2
cerere de renuntare la mandat formulata de lichidatorul judiciar,2
cerere de deschidere procedura secundara de insolventa,2
litigiu privind functionarii publici,0
comunicare informatii de interes public,0
ordonanta presedentiala,4
cerere de deschidere procedura secundara de insolventa,2
cerere de deschidere a proceduii insolventafata de o sucursala,2
comunicare informatii de interes public,0
cerere deschidere procedura insolventa sucursala,2
suspendare executare act administrativ,0
contestatia impotriva somatiei de plata,2
actiune in anularea contractului de cesiune parti sociale,2
actiune in anularea masurilor de executare silita,2
actiune in anulare,2
atragerea raspunderii pentru intrarea in insolventa,2
litigiu privind functionarii publici,0
contestatia impotriva masurii administratorului judiciar de respingere a cererii prtivind subrogarea legala a contestatorilor in toate drepturilor creditorilor garantati,2
atragerea raspunderii pentru intrarea in insolventa,2
contestatie impotriva masurilor administratorului judiciar,2
contestatie impotriva raportului asupra cauzelor si imprejurarilor care au determinat starea de insolventa,2
contestatie la tabelul preliminar,2
litigiu privind functionarii publici,0
litigiu privind functionarii publici,0
contestatie impotriva hotararii adunarii creditorilor,2
suspendare executare act administrativ,0
contestatie impotriva raportului de activitate,2
contestatie impotriva procesului verbal al adunarii creditorilor,2
contestatie impotriva masurii administratorului judiciar,2
litigiu privind functionarii publici,0
obligatia de a face,2
contestatie la executare,2
suspendare executare act administrativ,0
reziliere contract,2
contestatie impotriva raportului de distribuire si a planului de distribuire,2
contestatia impotriva raportului de activitate,2
reziliere contract,2
anulare contract de garantie,2
litigiu privind functionarii publici,0
contestatie impotriva procesului verbal de licitatie,2
anulare operatiuni transfer patrimonial bunuri mobile si imobile,2
obligatia de a face incheiere contract vanzarecumparare in forma autentica,2
reexaminare impotriva solutiei de respingere a cererii de obligare a lichidatorului judiciar la plata de despagubiri civile,2
contestatie impotriva tabelului preliminar al creantelor,2
atragerea raspunderii patrimoniale art din legea nr,2
analiza practicii de desfiintare a hotararilor trimestrul ii,2
contestatie la starea de insolventa,2
raspunderea patrimoniala reglementata de art din legea,2
necesitatea dovedirii existentei pasivului debitorului,2
decizia civila nr,1
novatie prin schimbare de debitordelegatie perfectaefectele novatiei,1
contract de depunere de sume de bani la cecdobanda,1
contract de vanzare cumparare actiuni prejudiciu evaluare conventionala penalitati,1
nulitate hotarare aga nulitatea procurilor acordate de actionarii majoritari pentru a fi reprezentati in aga,4
anulare hotarare aga nerespectarea art din legea nr,4
anulare hotarare aga modificare act constitutiv cvorum,4
deschiderea procedurii de faliment,2
inchiderea procedurii falimentului prin care se solutioneaza cererea avand ca obiect angajarea raspunderii patrimoniale,2
daune interese compensatoriidenuntare abuziva a contractului,1
cerere privind atragerea raspunderii personale a membrilor organelor de supraveghere sau de conducere ai debitorului,2
cerere privind atragerea raspunderii personale a membrilor organelor de supraveghere sau de conducere ai debitorului,2
executarea obligatiilor contractuale,1
deschiderea procedurii de insolventa prevazuta de legea,2
deschiderea procedurii de insolventa prevazuta de legea,2
anulare aga mandate ale consiliului de administratie expirate adunarea generala a societatii comercialeorgan suprem de conducere a activitatii,4
cerere privind atragerea raspunderii personale a membrilor organelor de supraveghereconducere ai debitorului,2
deschiderea procedurii de insolventa prevazuta de legea,2
obligatiile partilor in cadrul contractelor comerciale,1
indreptare eroare materiala,1
recurscheltuieli de judecata,1
plangere impotriva rezolutiei procurorului termen sesizarea altui procuror ierarhic superior decat cel competent sa solutioneze plangerea consecinte cu privire la calculul termenului de formulare a plangerii in fata judecatorului,3
plangere impotriva rezolutiei procurorului termen momentul de la care incepe sa curga cerere de comunicare a solutiei de neincepere a urmaririi penale calificare gresita consecinte cu privire la calculul termenului de formulare a plangerii in f,3
actiune in anulare,2
cerere de deschidere a procedurii de insolventa prevazuta de legea,2
actiune in anulare,2
daune interese cval banesti,1
daune interese cval banesti,1
cerere de deschidere a procedurii de insolventa prevazuta de legea,2
cerere de deschidere a procedurii de insolventa prevazuta de legea,2
cerere de deschidere a procedurii de insolventa prevazuta de legea,2
plangere impotriva rezolutiei procurorului natura juridica termen modalitate de calcul analiza pe fond a plangerii tardiv introduse la primprocuror consecinte,3
cerere de deschidere a procedurii de insolventa prevazuta de legea,2
indeplinirea conditiilor de admisibilitate in cazul somatiei de plata,1
cerere de atragere a raspunderii personaleconform art din e legea,2
imposibilitatea cumularii executarii in natura cu clauza penala constand in daune compensatorii,3
inceperea urmaririi penale procedura aplicarea in timp a legii procesual penale,3
imposibilitatea cumularii executarii in natura cu clauza penala constand in daune compensatorii,3
cerere de deschidere a procedurii de insolventa prevazuta de legea,2
cerere de deschidere a procedurii de insolventa prevazuta de legea,2
autoritate de lucru judecat cu privire la cuntumul prejudiciului,1
contestatii la declaratii de creanta,2
suspendare executare act administrativ,0
contestatie impotriva raportului prevazut de art din legea nr intocmit de lichidatorul judiciar,2
opozitie la dizolvare,4
suspendare activitate,4
contestatie impotriva raportului prevazut de art din legea nr intocmit de lichidatorul judiciar,2
reziliere contract de leasing financiar calitate procesuala activa,1
suspendare executare act administrativ,0
suspendare executare act administrativ,0
cerere de deschidere a procedurii insolventei,2
rezolutiune antecontract de vanzare cumparare posibilitatea invocarii clauzei penale constand in daune interese in cazul executarii partiale a unei obligatii complexe,3
respectarea principiului sigurantei circuitului civil si a buneicredinte a subdobanditorului unui imobil cu text oneros prin prisma art din protocolul al cedo,3
plangerea formulata impotriva solutiei procurorului calitate procesuala agentia nationala de integritate,3
inregistrare mentiuni cerere de interventie,4
contestatie la tabelul obligatiilor debitoarei,2
cerere de inchidere a procedurii insolventei,2
suspendare act administrativ,0
obligatiile mandatarului,4
actiunea in anularea somatiei de plata neindeplinirea conditiilor prev de art din oug,4
cerere de deschidere a procedurii insolventei,2
contestatie la executare perimarea executarii silite conform art alin cpciv interpretarea lipsei de staruinta a creditorului privind executarea silita,3
retragere asociat inadmisibilitatea actiunii in situatia in care societatea este dizolvata,4
contestatie la declaratiile de creanta,2
contestatii la tabelul creantelor,2
obligarea la transferarea sumelor de bani in contul unic,2
nulitate contract vanzare cumparare,1
